Sentiments,Reviews
0,"['dont', 'order', 'smallest', 'size', 'damage', 'piece', 'money', 'waste']"
0,"['whooo', 'great', 'prodct']"
0,"['totally', 'poor', 'pethatic', 'service']"
1,"['original', 'playstation', 'seal']"
1,"['highly', 'recommended']"
0,"['cheep', 'plastic', 'broken', 'month', 'sound', 'quality', 'also', 'bad']"
1,"['good', 'mashallah', 'airpods', 'amazing', 'quality']"
1,"['good', 'product', 'happy']"
0,"['kafi', 'low', 'light', 'hai']"
0,"['quality', 'cheapbad', 'experience']"
1,"['theyre', 'cute']"
1,"['good', 'product', 'great', 'discount', 'thank', 'u', 'daraz']"
0,"['size', '’', 'gon', 'na', 'return']"
0,"['satisfied', 'one', 'side', 'earbud', 'working']"
1,"['good', 'comfortable', 'price', 'range', 'size', 'perfect', 'good', 'seller', 'packging', 'pr', 'kaam', 'karain', 'thora', 'baqi', 'product', 'achi', 'hay']"
1,"['thanks', 'daraz', 'bhhhhht', 'hee', 'piyary', 'watch', 'h', 'jazakiallah', 'mene', 'order', 'liye', 'h', 'aur', 'hee', 'bht', 'ashi', 'h']"
1,"['good', 'product', 'pics']"
0,"['per', 'quality', 'price', 'high', 'packing', 'satisfactory']"
1,"['best', 'one', 'although', 'got', 'late']"
1,"['excellent', 'band', 'used', 'full', 'workout', 'session', 'stretched', 'time', 'original', 'length', 'didnt', 'snap', 'recommended']"
0,"['extreme', 'bad', 'quality', 'extreme', 'light', 'material']"
0,"['u', 'send', 'wrong', 'item', 'stand']"
0,"['medum', 'ap', 'k', 'earphane', 'ki', 'chanrgen', 'kam', 'hoti', 'hai', 'sarif', 'min']"
1,"['got', 'delivery', 'time', 'one', 'go', 'thanks']"
1,"['awesome', 'quality', 'good']"
0,['damaged']
1,"['good', 'sound', 'quality']"
1,"['good', 'condition', 'good', 'product', 'recomend', 'buy']"
1,"['original', 'product', 'arrived', 'within', 'days', 'good', 'experience', 'product', 'seller']"
1,"['good', 'quality', 'reasonable', 'price']"
1,"['loved', 'order', 'soon']"
0,"['tasteless', 'product']"
1,"['perfect', 'impressive', 'sound', 'amazing', 'orignal', 'gion', 'thanks', 'daraz', 'seller']"
0,"['shirt', 'wesi', 'hii', 'thi', 'jese', 'picture', 'main', 'thimagar', 'kapre', 'ki', 'quality', 'kam', 'thi', 'price', 'kee', 'hissab', 'see', 'value', 'money', 'nii', 'tha']"
1,"['bahut', 'acche', 'shoes', 'hain', 'nice', 'shoes', 'kam', 'price', 'mein', 'bahut', 'acchi', 'chij', 'hai', 'good', 'quality']"
1,"['product', 'good', 'per', 'price', 'tag', 'surprised', 'touch', 'controls', 'sound', 'quality', 'battery', 'time', 'also', 'impressive']"
1,"['received', 'parcel', 'handfree', 'quality', 'gud', 'build', 'quality', 'also', 'great', 'second', 'purchase', 'seller', 'highly', 'recommended', 'sim', 'eject', 'pin', 'one', 'shows', 'pitcher']"
1,"['good', 'product', 'reasonable']"
0,"['totally', 'ruf', 'material', 'dont', 'know', 'draz', 'allowed', 'type', 'sellers']"
1,"['seller', 'good', 'sent', 'product', 'exactly', 'advertised', 'within', 'given', 'time', 'qualitywise', 'awesome', 'great', 'deal', 'price', 'made', 'satin', 'silk', 'strachible', 'fabric', 'fine', 'stiching', 'size', 'color', 'overall', 'quality', 'great', 'seems', 'lasting', 'product', 'thus', 'recommend', 'others']"
0,"['sticking', 'skin', 'useless', 'thing']"
1,['perfectoriginal']
0,"['cheap', 'quality', 'costly']"
0,"['defective', 'product', 'guys', 'selling', 'poor', 'quality', 'products', 'customers', 'one', 'side', 'voice', 'low', 'side', 'working', 'properly']"
1,"['allhamdulliah', 'trusted', 'seller', 'anyone', 'seller', 'thx', 'seller', 'trusted', 'sellermy', 'experience', 'aoswome']"
1,"['nice', 'quality', 'shoes', 'pricealso', 'delivered', 'time', 'thank', 'much', 'giving', 'good', 'quality', 'product']"
0,"['disappointingit', 'came', 'broken', 'oil', 'leaked', 'everywherei', 'would', 'like', 'refund']"
1,"['quality', 'good', 'totally', 'satisfied']"
0,"['look', 'pretty', 'bright', 'enough', 'function', 'twisting', 'shortening', 'wire', 'wors', 'u', 'twist', 'back', 'comes', 'overall', 'product', 'ehfor', 'price', 'expected', 'better']"
0,"['local', 'peace']"
1,"['yepp', 'little', 'czn', 'loved', 'much', 'thanks']"
1,"['quality', 'good']"
1,"['original', 'satisfied']"
1,"['needed', 'use', 'submitting', 'review', 'far', 'good', 'using', 'exercise', 'routine', 'love', 'worth', 'penny', 'thank', 'much', 'seller']"
1,"['good', 'quality', 'leatherhas', 'much', 'capacity', 'cards', 'cashreceived', 'due', 'date']"
1,"['received', 'parcel', 'time', 'seller', 'quick', 'quality', 'belt', 'actually', 'good', 'price']"
0,"['ak', 'pair', 'chal', 'rha', 'hai', 'ak', 'pair', 'nhi', 'chal', 'rha', 'hai', 'karab', 'hai', '🥺🥺']"
1,['good']
1,"['recive', 'parcel', 'really', 'really', 'amazing', 'love', 'it🤩these', 'bag', 'useful']"
1,"['nice', 'like', 'pictures']"
1,"['superb', 'going', 'order', 'soon']"
1,"['got', 'parcel', 'delivered', 'today', 'pretty', 'satisfied', 'purchase', 'cause', 'product', 'looks', 'exactly', 'like', 'pic', 'pant', 'track', 'suit', 'pretty', 'warm', 'made', 'thick', 'material', 'winter', 'amazing']"
0,"['one', 'year', 'old', 'stock']"
1,"['good', 'experience']"
0,"['first', 'time', 'got', 'old', 'stock', 'really', 'disappointed']"
0,"['shirts', 'local', 'worst', 'quality', 'also', 'damaged', 'shirts', 'quality', 'fine', 'satisfied', 'seller', 'recommended']"
1,"['well', 'first', 'recieved', 'faulty', 'product', 'review', 'product', 'got', 'call', 'next', 'day', 'make', 'sure', 'actually', 'wrong', 'actually', 'never', 'happened', 'given', 'great', 'customer', 'service', 'told', 'send', 'new', 'one', 'got', 'today', 'working', 'perfect', 'great', 'customer', 'service', 'done', 'roon', 'guys', 'amazing', 'could', 'work', 'packaging', 'would', 'awsome', 'thankyou', 'roon']"
1,"['good', 'product', 'original', 'good', 'offer', 'shukriya', 'daraz']"
1,"['getting', 'good', 'result', 'paste']"
1,"['best', 'bangles', 'pretty']"
1,"['satisfied', 'quality']"
1,"['thank', 'u', 'daraz', 'like', 'tha', 'persal', 'received', 'tha', 'time', 'meteial', 'good']"
0,"['worst', 'seller', 'defected', 'product', 'waste', 'money']"
1,"['received', 'item', 'working', 'fine', 'far', 'issues', 'recommend']"
1,"['shown', 'picture', 'recommend', 'buy', 'contains', 'red', 'blue', 'green', 'light', 'blue', 'n', 'pink', 'shown', 'picture', 'highly', 'recommend', 'good', 'item', 'thanks', 'daraz']"
0,"['fake', 'saller', 'change', 'watch', 'colour']"
0,"['fits', 'child', 'even', 'teenager']"
1,"['bouth', 'acha', 'hai', 'na', 'use', 'kiye', 'hai', 'kye', 'battery', 'timing', 'b', 'achi', 'hai']"
1,"['buht', 'acha', 'ha', 'like']"
1,"['delivered', 'well', 'within', 'stipulated', 'time']"
0,"['isme', 'koi', 'itnay', 'colours', 'nahi', 'haisrf', 'red', 'dark', 'blue', 'green', 'colour', 'ki', 'light', 'hai', 'fazul']"
0,"['dont', 'buy', 'totally', 'fake', 'product', 'working']"
0,"['poor', 'quality', 'charging', 'b', 'ni', 'ho', 'rhi', 'voice', 'b', 'kharab', 'ho', 'jati', 'h', 'chlty', 'chlty', 'recommend']"
0,"['alla', 'things', 'good', 'shoes', 'broken', 'back', 'side', 'bad', 'waste', 'money', 'kindly', 'request', 'dont', 'buy', 'form', 'store', 'thasks']"
1,"['good', 'quality', 'authentic', 'piece']"
1,['nice']
1,"['behtreen', 'sound', 'hai', 'recommended']"
1,"['good', 'quality', 'sound', 'perfect', 'battery', 'also', 'buy', 'brand']"
0,"['prefer', 'chewing', 'gum', 'jaw', 'muscles', 'growthexercise', 'large', 'hardtough', 'enough']"
0,"['kese', 'na', 'kal', 'ke', 'h']"
1,"['thanks', 'daraz', 'mashallah', 'bohot', 'axhi', 'chiz', 'hai', 'jasa', 'dikhaya', 'weasa', 'diya']"
1,"['nice', 'product', 'delivery', 'time', 'recomended', 'thanks', 'daraz', 'seller']"
1,"['nice', 'item']"
0,"['split', 'ac', 'isnt', 'cooling', 'room', 'nd', 'day', 'installation', 'situation', 'faulty', 'product', 'also', 'man', 'came', 'install', 'seem', 'inexperienced', 'overall', 'experience', 'bad', 'ac', 'service', 'provided', 'needs', 'changed', 'please', 'look']"
1,"['recommended', 'seller', 'recieved', 'shown']"
1,"['quality', 'good', 'delivery', 'fast', 'products', 'nicely', 'packed']"
1,"['good', 'addition', 'room']"
1,"['im', 'thankful', 'daraz', 'providing', 'facility', 'recommended', 'ordered', 'get', 'wanted', 'thanks', 'daraz']"
1,"['sensitive', 'mic']"
1,"['best', 'product', 'received', 'time']"
1,"['good', 'quality', 'described', 'original', 'product', 'quite', 'reasonable', 'price', 'completely', 'satisfied', 'thanks', 'seller', 'going', 'order', 'delivered', 'time', 'highly', 'recommended']"
0,"['ordered', 'black', 'cap', 'also', 'mentioned', 'chat', 'recieved', 'white', 'colour', 'kids', 'dont', 'wear', 'white']"
1,"['bhoot', 'acha', 'product', 'ha', 'thanks', 'daraz']"
1,['good']
0,"['fragile', 'packaging', 'considering', 'shipped', 'way', 'karachi', 'lahore', 'secondly', 'took', 'days', 'water', 'arrive', 'day', 'delivered']"
1,"['good', 'quality', 'stuff', 'fresh', 'claimed']"
1,"['really', 'awesome', 'product', 'didnt', 'expect', 'sick', 'looking', 'love', 'highly', 'recommend', 'buying']"
1,"['fresh', 'received']"
1,"['achi', 'cheiz', 'hay', 'alhamdulillah']"
1,"['amazing', 'lovely', 'comfortable', 'jogging', 'shoes', 'reasonable', 'price']"
1,"['oommmggggg', 'lights', 'love', 'give', 'really', 'aesthetic', 'vibes', 'control', 'wd', 'remote', 'absolutely', 'amazing', '🤩', 'recommended']"
0,"['oder', 'door', 'draft', 'good', 'totally', 'fake', 'disappointed', 'poor', 'quality']"
1,"['market', 'se', 'kam', 'price', 'main', 'mile', 'hain', 'quality', 'bhi', 'bohat', 'achi', 'thi']"
1,"['also', 'ordered', 'handfre', 'also', 'good', 'quality', 'sounds', 'quality', 'also', 'superb', 'recommended']"
1,"['fresh', 'product']"
1,"['delicious', 'product']"
1,"['chopsticks', 'light', 'weight', 'good']"
1,['shown🥰🥰🥰']
1,"['good', 'product', 'buy', 'fair', 'price', 'also']"
0,"['jesa', 'picture', 'mein', 'tha', 'bilkul', 'wesa', 'nahi', 'tha', 'fabric', 'colour', 'dono', 'hi', 'bhot', 'kharab', 'tha']"
0,"['ka', 'order', 'dia', 'mily']"
1,['great']
0,"['end', 'strip', 'working', 'properly', 'colors', 'even', 'ft']"
1,"['good', 'product', 'delivery', 'time', 'good']"
1,"['product', 'good', 'shown', 'picturebut', 'price', 'high', 'thing']"
1,"['aalo', 'market', 'se', 'kam', 'price', 'main', 'mile', 'hain', 'quality', 'bhi', 'bohat', 'achi', 'thi']"
0,"['unhappy', 'delivery', 'service', 'seller', 'delivered', 'tcs', 'whem', 'ac', 'arrived', 'city', 'tcs', 'guy', 'call', 'pick', 'office', 'paid', 'delivery', 'fee', 'seller', 'collect', 'personally', 'tcs', 'office', 'paid', 'delivery', 'charge', 'rd', 'party', 'product', 'ok', 'unhappy', 'delivery', 'service', 'give', 'star', 'seller']"
1,"['multicolour', 'useful', 'like', 'muchrecommended']"
1,"['shown', 'pitcher', 'seller', 'positive', 'response', 'dlevry', 'time', 'rider', 'good', 'person']"
1,"['v', 'nice']"
1,"['highly', 'recommended', 'thankx', 'seller', 'thanks', 'daraz', '🤗', 'well', 'packed']"
0,"['received', 'box', 'extensive', 'leakage', 'first', 'time', 'order', 'grocery', 'quite', 'disappointed', 'initiated', 'return']"
1,"['love', '🥰🥰🥰']"
0,"['ek', 'earphone', 'chal', 'nahi', 'raha', 'hai', 'talktime', 'mints', 'hai', 'full', 'charge', 'karnay', 'k', 'badh', 'bhi', 'kindly', 'change']"
1,"['good', 'product', 'price', 'range']"
1,"['mashaallah', 'daraz', 'good', 'main', 'ne', 'pic', 'jo', 'cheez', 'dekhi', 'bilqul', 'wesi', 'hi', 'wasool', 'ki', 'shukria', 'daraz']"
1,"['bluetooth', 'nicesound', 'quality', 'also', 'good', 'bluetooth', 'shown', 'picturethank', 'much']"
1,"['product', 'quality', 'good', 'received', 'time', 'well', 'packed']"
0,"['got', 'expired', 'milk', 'delivered', 'march', 'jan', 'expiry', 'date', 'bad', 'luck', 'ordered']"
1,"['nice', 'productthank', 'daraz', 'recommended']"
1,"['edit', 'used', 'app', 'called', 'xce', 'make', 'game', 'think', 'im', 'using', 'xbox', 'gamepad', 'works', 'almost', 'games']"
1,"['sab', 'kuch', 'acha', 'hai', 'lekin', 'mainy', 'order', 'kiya', 'tha', 'aor', 'aya', 'hai']"
1,"['well', 'done', 'seller']"
1,"['amazing', 'product', 'colors', 'schemeus', 'awesome']"
1,"['water', 'bottles', 'came', 'secure', 'package', 'good', 'quality']"
0,"['dont', 'buy', 'anyone', 'please', 'wastage']"
1,"['affordable', 'best', 'earphones', 'ever', 'seen']"
0,"['kharab', 'dya', 'tha', 'pura', 'phatat', 'hua', 'tha', 'disappointed']"
1,"['good', 'quality', 'working', 'satisfied']"
1,"['quality', 'bhtreen', 'ha', 'sound', 'bht', 'acha', 'ha', 'jo', 'pangwaya', 'tha', 'whi', 'ha', 'referred', 'percent', 'buy', 'productthanku', 'seller']"
0,"['bad', 'shows', 'wearing']"
1,"['price', 'quality', 'ka', 'liaz', 'sa', 'best', 'running', 'shoes', 'han']"
1,"['beautiful', 'classic', 'item']"
1,"['owsom', 'product', 'thanks', 'daraz']"
1,"['boht', 'acha', 'stuff', 'hai', 'size', 'b', 'proper', 'hein', 'shirts', 'k', 'zabardast']"
1,"['quality', 'ginger', 'good', 'lot', 'ginger', 'happy', 'find', 'fresh', 'ginger', 'received', 'always', 'meet', 'requirement', 'fresh', 'items', 'buy', 'online', 'daraz', 'daraz', 'trusted', 'platform']"
0,"['takes', 'week', 'deliver', 'single', 'product', 'bad', 'service']"
0,"['poor', 'packing', 'sellers']"
1,"['received', 'headphone', 'good', 'product', 'buy', 'like', 'head', 'phone']"
1,"['good', 'quality', 'per', 'price']"
1,"['g', 'parcell', 'mil', 'gy', 'pic', 'nii', 'lee', 'thie', 'may', 'na', 'laga', 'lia', 'hy', 'aur', 'bhot', 'acha', 'hy', 'star', 'thank', 'u', 'daraz']"
1,"['working', 'advertised', 'recommend']"
1,"['color', 'design', 'shown', 'shipping', 'service', 'good', 'thanks', 'daraz']"
1,"['really', 'satisfied', 'outstanding', 'clothes', 'bages', 'thankx', 'daraz', 'shop', 'seller', 'osam']"
1,"['overall', 'satisfied', 'amazing', 'experience', 'seller', 'daraz']"
1,"['shown', 'picture', 'nice', 'packaging', 'delivered', 'time', 'nice', 'service']"
0,"['bilkul', 'b', 'achy', 'nahe', 'hain', 'sound', 'b', 'bht', 'slow', 'hai', 'paisy', 'zaya', 'huwy', 'ye', 'kharid', 'krrr']"
1,"['ordered', 'controller', 'give', 'gift', 'cousin', 'birthday', 'shocked', 'see', 'custom', 'color', 'really', 'liked']"
1,"['good', 'quality', 'satisfied']"
1,"['excellent', 'quality', 'always', 'good', 'buying', 'vegetables', 'daraz', 'highly', 'recommended']"
0,"['seal', 'broken', 'box', 'good', 'condition', 'pretty', 'packaging', 'product', 'alsosound', 'pods', 'excellentand', 'range', 'given', 'date']"
1,"['good', 'quality', 'happy']"
0,"['poor', 'much', 'disappointed']"
0,"['damaged', 'piece', 'worthless']"
1,"['received', 'time', 'full', 'safety', 'thanks', 'daraz', 'seller']"
1,"['nice', 'product', 'recommended', 'everyone']"
1,"['works', 'properly', 'nice', 'quality']"
0,"['high', 'price']"
1,"['good', 'product', 'quality', 'good', 'reached', 'time', 'satisfied', 'seller']"
1,"['woww', 'recommended']"
1,"['vegetables', 'fresh', 'well', 'packed', 'price', 'also', 'less', 'compared', 'market']"
1,"['wowww', 'amazing', 'shown', 'better', 'air', 'pods', 'high', 'battery', 'timing', 'hours', 'used', 'highly', 'recommended', 'clear', 'voice', 'stars']"
1,"['excellent', 'product', 'cam', 'fixed', 'table']"
1,"['good', 'quality', 'water']"
1,"['second', 'order', 'amazing🤩', 'highly', 'recommended', 'delivered', '⌚', 'time']"
1,"['received', 'exactly', 'shown', 'picture', 'delivered', 'time', 'packaging', 'good', 'leak', 'damage', 'product', 'overall', 'great', 'experience']"
1,"['beautiful', 'gift', 'kids']"
0,"['one', 'ordered', 'different', 'one', 'received', 'really', 'shameful', 'intentionally', 'cheating', 'need', 'loyal', 'customers']"
0,"['sir', 'help', 'device', 'stops', 'working', 'days']"
1,"['mashaallah', 'quick', 'service', 'fresh', 'potatoes', 'thanks', 'daraz', 'n', 'seller']"
1,"['handsfree', 'properly', 'working', 'delivered', 'time', 'quality', 'good']"
0,"['satisfied', 'shoes', 'return']"
1,"['received', 'mouse', 'pad', 'glad', 'see', '’', 'shown', 'pictures', 'recommended']"
1,"['excellent', 'quality', 'product']"
1,"['picture', 'useful', 'perfect']"
0,"['ordered', 'black', 'one', 'sent', 'totally', 'change', 'product']"
1,"['awesome', 'good', 'quality', 'suggest', 'product', 'buy']"
1,"['nice', 'product', 'love']"
1,"['amazing', 'quality', 'expected', 'inshallah', 'keep', 'order', 'soon', 'high', 'quality', 'reasonable', 'price']"
0,"['size', 'issue']"
1,"['perfect', 'sound']"
1,"['superb', 'sound', 'quality']"
1,"['fresh', 'good']"
1,"['nice', 'delivery', 'time', 'reasonable', 'price']"
1,"['thanks', 'nice', 'fragrance', 'thanks', 'gift']"
0,"['absolutely', 'terrible', 'material', 'quality', 'almost', 'close', 'paper', 'bag', 'tore', 'zipper', 'packed', 'full', 'moved']"
1,"['received', 'doorstep', 'good']"
1,"['nice', 'products', 'good']"
1,"['great', 'excellent', 'quality', 'smooth', 'mouse', 'pad', 'love', 'recommend', 'buy']"
1,"['zbrdast', 'bht', 'achi', 'product', 'hy', 'quality', 'wise']"
1,"['good', 'product', 'good', 'quality', 'thank', 'u', 'daraz']"
1,['amazing']
1,"['seller', 'response', 'much', 'good']"
1,"['copy', 'handfree', 'ha', 'original', 'nahi', 'ha', 'original', 'bol', 'kr', 'copy', 'de', 'ha', 'haram', 'ka', 'khana', 'acha', 'lagta', 'ha', 'inko']"
1,"['really', 'splendid', 'fast', 'delivery', 'staggering', 'quality']"
1,"['miraculous', 'product', 'works', 'like', 'charm', 'thank', 'much']"
1,"['excellent', 'bubble', 'rap', 'packing', 'outstanding', 'product', 'recommended']"
1,"['nice', 'warm', 'worth', 'price', 'also', 'got', 'discount', 'happy', 'advise', 'buyers', 'order', 'size', 'bigger', 'ordered', 'yrs', 'bit', 'smaller', 'yrs', 'boy', 'even', 'washing', 'fine', 'good', 'quality']"
0,"['light', 'nhi', 'ho', 'rahi', 'return', 'karen', 'please', 'ya', 'phir', 'mujhe', 'change', 'kar', 'k', 'den']"
0,"['two', 'marks', 'one', 'shoe', 'tried', 'clean', 'two', 'lines', 'seller', 'recommended']"
1,"['amazing', 'thanks']"
0,"['cheap', 'quality', 'plastic', 'flimsy', 'definitely', 'recommended']"
0,"['bad', 'quality', 'satisfied', 'really', 'bad', 'experiencecolour', 'also', 'dark', 'must', 'say', 'ill', 'used', 'cleaning', 'floor']"
1,"['excellent', 'working']"
1,"['smell', 'really', 'good', 'long', 'lasting', 'miswak', 'also', 'fresh', 'thank', 'much']"
1,"['zabardast', 'rupee', 'maza', 'agya']"
1,"['thank', 'u', 'daraz', 'bht', 'acha', 'shoes', 'h', 'jo', 'order', 'kya', 'wahi', 'aaya']"
1,"['alhamdulillah', 'received', 'quality', 'good', 'sound', 'good', 'price', 'good']"
1,"['excellent', 'real', 'shown', 'photo']"
0,"['low', 'qualityshow', 'something', 'send', 'something', 'quality', 'good', 'use', 'one', 'time', 'loose', 'stich', 'disappointed']"
0,"['bad', 'product', 'result', 'waste', 'time', 'money', 'recommend', 'buy']"
1,"['good', 'power', 'bank', 'works', 'wellthe', 'audio', 'quality', 'could', 'improve', 'little', 'high', 'overall', 'nice', 'texture', 'good', '🤍']"
1,['nice']
1,"['awsm', 'quality']"
0,"['open', 'looks', 'fine', 'use', 'din', 'ka', 'bad', 'iska', 'right', 'speaker', 'sy', 'phati', 'hoi', 'awaz', 'arhi', 'ha', 'agly', 'bndy', 'ko', 'issue', 'hota', 'h', 'kiyn', 'ka', 'usy', 'shoor', 'jata', 'ha', 'mena', 'baar', 'pucha', 'original', 'handfree', 'ya', 'khaty', 'original', 'ha', 'rp', 'delivery', 'day', 'ky', 'agar', 'ya', 'chz', 'apko', 'leni', 'ha', 'tu', 'worthy', 'return', 'krwana', 'chaa', 'raha', 'hun', 'leken', 'ab', 'lagta', 'ni', 'ho', 'leken', 'ya', 'review', 'isi', 'leya', 'deya', 'h', 'ky', 'next', 'customer', 'isko', 'daikhy', 'sochy', 'lena', 'sy', 'phly', 'st', 'n', 'last', 'purchase']"
0,"['holes', 'product', 'soles', 'hurt', 'soles', 'walking']"
1,"['bhut', 'achi', 'hai']"
1,"['awesome', 'usual']"
1,"['product', 'overall', 'good', 'small', 'size', 'smell', 'produced', 'mints', 'use', 'recommended', 'seller']"
1,"['best', 'cooking', 'temperature', 'meter']"
0,['good']
1,"['first', 'order', 'tws', 'airpods', 'super', 'sound', 'high', 'quality', 'touch', 'sensors', 'true', 'stereo', 'headphones']"
1,"['good', 'quality', 'wrapped', 'much', 'good']"
1,"['got', 'led', 'time', 'fast', 'delivery', 'perfect', 'condition', 'well', 'packed']"
0,"['size', 'accurate', 'written', 'xl', 'actually', 'large', 'medium', 'fabric', 'quality', 'also', 'good']"
1,"['nice', 'packaging', 'arrived', 'overseas', 'reasonable', 'amount', 'time', 'quite', 'small', 'watt', 'charger', 'using', 'charge', 'macbook', 'problems', 'encountered', 'thus', 'far', 'heat', 'quite', 'bit', 'original', 'macbook', 'charger']"
1,"['good', 'quality', 'everytime']"
1,"['reached', 'well', 'everything', 'working', 'fine', 'really', 'overwhelming', 'charming', 'good', 'item', 'gift', 'came', 'charging', 'cable', 'remote', 'control', 'hour', 'charging', 'lamp', 'work', 'hours', 'makes', 'us', 'happy', 'shop', 'soon']"
1,"['satisfied', 'bht', 'hi', 'achy', 'potatoes', 'hyn', 'thanks', 'daraz']"
1,"['good', 'taste', 'wao', 'like']"
1,"['product', 'original', 'slightly', 'used', 'good', 'condition', 'reasonable', 'price', 'happy', 'product', 'well', 'packed', 'delivered', 'well', 'mannered', 'used', 'yet', 'overall', 'looks', 'good', 'also', 'seller', 'sent', 'power', 'cable', 'led', 'thanks', 'seller', 'daraz']"
1,"['good', 'product', 'easy', 'wear', 'light', 'weight', 'weight', 'thanks', 'daraz', 'thanks', 'vendor', 'love', 'u🥰🥰']"
1,"['large', 'bottlethe', 'quality', 'fantastic', 'low', 'pricerecommended', 'buy']"
1,"['good', 'quality', 'product', 'im', 'satisfied', 'thnx', 'daraz']"
1,"['going', 'give', 'stars', 'liked', 'much', 'specially', 'stuff', 'soft', 'n', 'comfortable', 'n', 'light', 'weighted', 'feels', 'soft', 'wearingn', 'seller', 'also', 'snd', 'clr', 'ordered', 'thnku', 'much', 'daraz', 'thanks', 'seller', 'seller', 'honestrecommended', 'order', 'shop', 'sha', 'allahm', 'much', 'happy', 'shopping', 'daraz', 'overall', 'experience', 'really', 'great']"
1,"['nice', 'product', 'recieved', 'single', 'day', 'works', 'perfectly', 'fine', 'recommend', 'seller', 'product']"
0,"['g', 'ye', 'boht', 'bykar', 'ha', 'boht', 'chota', 'voice', 'bhe', 'clair', 'nhe', 'ati']"
1,"['original', 'product', 'reasonable', 'price', 'sound', 'perfect', 'thanks', 'seller']"
1,"['build', 'quality', 'good', 'seller', 'mentioned', 'blower', 'adjustable', 'find', 'think', 'adjust', 'worth', 'buying']"
1,"['love', 'buhat', 'acha', 'product', 'lekin', 'prefer', 'ýòu']"
1,"['overall', 'good', 'experience', 'would', 'recommend', 'also', 'received', 'lower', 'price']"
1,"['packing', 'awesomeoriginal', 'product', 'fine', 'materialgreat', 'seller', 'service', 'afraid', 'happy', 'receive', 'order', 'thanks', 'daraz', 'bank', 'alfalah']"
1,"['alhamdulillah', 'jesi', 'dekhi', 'wesi', 'milli', 'pure', 'bass', 'pure', 'voice', 'exactly', 'thing', 'jo', 'mujhe', 'chahiye', 'thee']"
1,"['good', 'working', 'amzing']"
